index x y duration
1 734 564 219
2 806 699 163
3 599 276 216
4 355 231 259
5 646 289 179
6 696 335 239
7 553 124 259
8 342 116 199
9 791 115 160
10 989 115 140
11 648 332 319
12 907 589 339
13 728 557 259
14 758 361 199
15 659 352 419
16 656 238 538
17 946 181 239
18 509 106 339
19 653 133 239
20 668 341 180
21 643 381 459
22 551 367 319
23 704 327 319
24 675 393 877
25 626 405 479
26 623 368 1176
27 540 356 259
28 662 361 179
29 895 170 220
30 576 138 378
31 754 128 219
32 650 374 1196
33 698 419 219
34 628 400 359
35 522 354 299
36 691 385 320
37 457 539 179
38 702 347 259
39 660 382 498
40 287 518 160
41 254 481 259
42 300 665 379
43 371 681 180
44 910 565 299
45 904 207 179
46 906 266 279
47 616 245 538
48 312 237 339
49 657 148 180
50 971 153 239
51 363 630 179
52 319 694 339
53 372 658 179
54 891 580 299
55 432 621 120
56 317 690 199
57 348 671 199
58 354 581 259
59 327 691 264
60 529 632 201
61 507 676 193
62 749 600 239
63 704 622 159
64 276 490 259
65 867 581 219
66 931 601 219
67 890 667 259
68 342 621 179
69 319 664 279
70 267 467 299
71 330 473 219
72 299 657 279
73 333 704 299
74 355 665 120
75 296 741 259
76 310 777 219
77 373 770 319
78 528 700 180
79 358 742 1116
80 297 778 279
81 356 572 205
82 572 247 201
83 572 136 212
84 904 136 319
85 453 77 439
86 450 520 219
87 350 582 220
88 668 354 758
89 381 659 239
90 333 678 319
91 318 739 259
92 363 698 219
93 329 740 299
94 367 722 239
95 292 732 159
96 334 748 219
97 388 732 180
98 302 788 259
99 357 799 359
100 508 679 439
