index x y duration
1 629 383 698
2 672 380 678
3 706 391 498
4 748 527 319
5 741 396 778
6 652 492 219
7 664 422 2293
8 690 384 419
9 649 325 212
10 669 265 186
11 548 131 219
12 341 95 319
13 276 32 259
14 378 21 299
15 820 26 199
16 921 50 299
17 805 296 219
18 732 402 600
19 364 665 277
20 418 692 239
21 733 385 280
22 778 389 378
23 756 409 977
24 751 445 199
25 716 439 598
26 769 420 678
27 836 583 239
28 742 407 279
29 1114 394 239
30 1178 294 284
31 1171 228 314
32 545 736 339
33 319 692 220
34 515 630 438
35 509 703 359
36 783 694 239
37 929 684 459
38 898 742 399
39 693 893 319
40 516 616 478
41 337 609 339
42 310 514 259
43 326 707 778
44 378 699 140
45 518 683 339
46 763 694 259
47 708 707 239
48 972 710 199
49 908 703 439
50 716 699 279
51 506 680 140
52 345 515 219
53 295 522 199
54 558 712 399
55 891 691 279
56 614 694 140
57 518 676 359
58 336 689 279
59 297 696 239
60 509 674 179
61 419 691 120
62 545 620 279
63 668 645 399
64 570 677 259
65 712 700 977
